sourceHandle,sourceTitle,sourceImage,sourceCode,referenceCount,cand1_gid,cand1_handle,cand1_title,cand1_score,cand2_gid,cand2_handle,cand2_title,cand2_score,cand3_gid,cand3_handle,cand3_title,cand3_score,accepted_gid
harmonie-etericky-olej-bio,Ukázat detaily,https://www.sonnentor.com/cz/product-images/15093/33928/image-thumb__33928__product-teaser-img/15093.eb067089.jpg,15093,7,,,,,,,,,,,,,
zazvor-etericky-olej-bio,Zázvor éterický olej bio balení,https://www.sonnentor.com/cz/product-images/17004/60599/image-thumb__60599__product-teaser-img/17004.b03a41e7.jpg,17004,2,gid://shopify/Product/15821911228750,levandule-bio-etericky-olej-10ml,Levandule bio éterický olej 10ml,0.429,gid://shopify/Product/15821911294286,bergamot-bio-etericky-olej-10ml,Bergamot bio éterický olej 10ml,0.429,gid://shopify/Product/15821911359822,cajovnik-bio-etericky-olej-10ml,Čajovník bio éterický olej 10ml,0.429,
mata-peprna-etericky-olej-bio,máty peprné,https://www.sonnentor.com/cz/product-images/15043/33950/image-thumb__33950__product-teaser-img/15043.55bed06e.jpg,15043,7,,,,,,,,,,,,,
darkovy-box-sobestacna-zahradka,Dárkový box - Soběstačná zahrádka,https://www.sonnentor.com/cz/product-images/33512/96949/image-thumb__96949__product-teaser-img/33512.aa021737.jpg,33512,1,gid://shopify/Product/15821933838670,darkovy-box-z-lasky,Dárkový box - Z lásky,0.400,gid://shopify/Product/15821936034126,darkovy-box-kouzelny-vanocni-cas,Dárkový box - Kouzelný vánoční čas,0.286,gid://shopify/Product/15821935444302,papirovy-darkovy-box-na-6-koreni-prazdny,"Papírový dárkový box na 6 koření, prázdný",0.250,
zverinove-koreni-cisare-frantiska-bio-krabicka,Zvěřinové koření císaře Františka bio krabička,https://www.sonnentor.com/cz/product-images/00396/33824/image-thumb__33824__product-teaser-img/00396.b736c2aa.jpg,00396,3,gid://shopify/Product/15821907329358,polevkove-koreni-bio-25g,Polévkové koření bio 25g,0.250,gid://shopify/Product/15821926400334,italske-koreni-bio-20g,Italské koření bio 20g,0.250,gid://shopify/Product/15821927743822,provensalske-koreni-bio-20-g,Provensálské koření bio 20 g,0.250,
zazvor-pohoda-sypany-bio,Zázvor Pohoda sypaný bio balení,https://www.sonnentor.com/cz/product-images/00874/60562/image-thumb__60562__product-teaser-img/00874.26e9f08c.jpg,00874,4,gid://shopify/Product/15821917159758,kurkuma-latte-zazvor-bio-230-g-gastro-baleni,"Kurkuma Latte - zázvor bio 230 g, gastro balení",0.333,gid://shopify/Product/15821920731470,zazvor-pohoda-bio-324g-porc-dvoukomorovy,"Zázvor Pohoda bio 32,4g porc. dvoukomorový",0.333,gid://shopify/Product/15821908181326,zazvor-kandovany-bio-75g,Zázvor kandovaný bio 75g,0.286,
korenici-smesi,směsích koření,,,2,gid://shopify/Product/15821907329358,polevkove-koreni-bio-25g,Polévkové koření bio 25g,0.200,gid://shopify/Product/15821926400334,italske-koreni-bio-20g,Italské koření bio 20g,0.200,gid://shopify/Product/15821927743822,provensalske-koreni-bio-20-g,Provensálské koření bio 20 g,0.200,
darkove-baleni-3-caju-zazvorove-trio-bio-baleni,Dárkové balení 3 čajů – Zázvorové trio bio,https://www.sonnentor.com/cz/product-images/33346/69750/image-thumb__69750__product-teaser-img/33346.f9526d42.jpg,33346,2,gid://shopify/Product/15821922402638,darkove-baleni-2-caju-velikonoce,Dárkové balení 2 čajů - Velikonoce,0.429,gid://shopify/Product/15821923713358,darkove-baleni-3-caju-vanoce,Dárkové balení 3 čajů - Vánoce,0.429,gid://shopify/Product/15821923811662,darkove-baleni-2-caju-pratelstvi,Dárkové balení 2 čajů - Přátelství,0.429,
zazvor-kurkuma-sypany-bio,Zázvor Kurkuma sypaný bio balení,https://www.sonnentor.com/cz/product-images/00875/60563/image-thumb__60563__product-teaser-img/00875.8e652fa2.jpg,00875,6,gid://shopify/Product/15821917159758,kurkuma-latte-zazvor-bio-230-g-gastro-baleni,"Kurkuma Latte - zázvor bio 230 g, gastro balení",0.500,gid://shopify/Product/15821917225294,kurkuma-latte-zazvor-bio-60g,Kurkuma Latte - zázvor bio 60g,0.429,gid://shopify/Product/15821917126990,kurkuma-latte-zazvor-bio-60g-doza,Kurkuma Latte - zázvor bio 60g dóza,0.375,
zazvor-citron-sypany-bio,Zázvor Citron sypaný bio balení,https://www.sonnentor.com/cz/product-images/00852/33810/image-thumb__33810__product-teaser-img/00852.e9db6cb0.jpg,00852,1,gid://shopify/Product/15821911982414,zazvor-citron-sirup-bio-500-ml,Zázvor-citron sirup bio 500 ml,0.375,gid://shopify/Product/15821917159758,kurkuma-latte-zazvor-bio-230-g-gastro-baleni,"Kurkuma Latte - zázvor bio 230 g, gastro balení",0.333,gid://shopify/Product/15821920895310,zazvorcitron-bio-324g-porc-dvoukomorovy,"Zázvor–citron bio 32,4g porc. dvoukomorový",0.333,
zazvor-energie-sypany-bio,Zázvor Energie sypaný bio balení,https://www.sonnentor.com/cz/product-images/00851/33655/image-thumb__33655__product-teaser-img/00851.fb45fc0c.jpg,00851,2,gid://shopify/Product/15821920797006,zazvor-energie-bio-324-g-porc-dvoukomorovy,"Zázvor Energie bio 32,4 g, porc. dvoukomorový",0.375,gid://shopify/Product/15821917159758,kurkuma-latte-zazvor-bio-230-g-gastro-baleni,"Kurkuma Latte - zázvor bio 230 g, gastro balení",0.333,gid://shopify/Product/15821908181326,zazvor-kandovany-bio-75g,Zázvor kandovaný bio 75g,0.286,
pampeliskove-kafe-bio-doza,Pampeliškové kafe bio dóza,https://www.sonnentor.com/cz/product-images/00640/72406/image-thumb__72406__product-teaser-img/00640.0e185f0c.jpg,00640,10,gid://shopify/Product/15821918536014,holy-veggie-bio-90-g-doza,"Holy Veggie bio 90 g, dóza",0.286,gid://shopify/Product/15821918765390,steak-that-bio-150g-doza,"Steak That bio 150g, dóza",0.286,gid://shopify/Product/15821917126990,kurkuma-latte-zazvor-bio-60g-doza,Kurkuma Latte - zázvor bio 60g dóza,0.250,
